code,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_IMPLOSIVES,P_LONG_VOWELS,P_TONE,P_UVULARS
kyb,1,0,0,0.5,0.5,0,0,0.5
kzq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
lac,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
lbc,0.5,0.5,0.5,0.5,0.5,1,1,0.5
lbj,1,1,1,0.5,0.5,1,0,0.5
lbr,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
lee,0,0,0,0.5,0.5,1,1,0.5
lhm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
lif,1,0,1,0.5,0.5,0,0,0.5
lis,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
lmh,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
lmk,1,0,1,0.5,0.5,0,0.5,0.5
loy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
lpe,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
lrr,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
lsi,0.5,0.5,0.5,0.5,0.5,1,1,0.5
ltz,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
luc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
luu,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
lwh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
maa,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mad,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
mai,1,1,1,0.5,0.5,1,0,0.5
maj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
maq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mau,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
maz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mbb,1,0,0,0.5,0.5,0,0,0.5
mbd,1,0,0,0.5,0.5,1,0,0.5
mbs,1,0,1,0.5,0.5,0,0,0.5
mbt,1,0,0,0.5,0.5,0,0,0.5
mbz,1,0,1,0.5,0.5,0,1,0.5
mci,1,0,1,0.5,0.5,1,0,0.5
mco,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
mdh,1,0,0,0.5,0.5,0,0,0.5
mdx,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mfy,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
mgq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mhs,1,0,0,0.5,0.5,0,0,0.5
mhu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mhz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mib,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mie,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mig,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mil,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mim,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mio,0,0,0,0.5,0.5,0,1,0.5
miq,1,0,0,0.5,0.5,0,0,0.5
mir,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
mit,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
miz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mjc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mjg,1,0,1,0.5,0.5,0,0.5,0.5
mjz,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
mks,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mkx,1,0,1,0.5,0.5,1,0,0.5
mlc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mlm,0.5,0.5,0.5,0.5,0.5,1,1,0.5
mmc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mmd,0.5,0.5,0.5,0.5,0.5,1,1,0.5
mml,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mmn,1,0,0,0.5,0.5,0,0,0.5
mmp,0,0,1,0.5,0.5,1,0,0.5
mni,1,0,0,0.5,0.5,1,0,0.5
mnp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mos,1,0,1,0.5,0.5,1,1,0.5
moy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mpc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mpe,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mqh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mql,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mrd,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
msk,1,0,0,0.5,0.5,1,0,0.5
msm,1,0,0,0.5,0.5,0,0,0.5
mta,1,0,0,0.5,0.5,0,0,0.5
mto,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
mts,1,0,0,0.5,0.5,0,1,0.5
muk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mup,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
muz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mvm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mww,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mxa,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mxj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mxp,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
mxt,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mxy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
mym,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nab,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nan,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nao,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
naw,1,0,0,0.5,0.5,0,1,0.5
ncg,1,0,0,0.5,0.5,0,0,0.5
nch,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ncj,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ncr,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ndh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ndv,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
new,1,0,1,0.5,0.5,0,0,0.5
nfr,0,0,0,0.5,0.5,1,1,0.5
ngu,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
nhe,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
nhg,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
nhm,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
nhr,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nhw,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
nih,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
njb,1,0,0,0.5,0.5,1,1,0.5
njm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nki,1,0,0,0.5,0.5,1,0,0.5
nmm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nmn,1,0,0,0.5,0.5,1,1,0.5
nmy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nmz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nnj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nnw,1,0,0,0.5,0.5,1,1,0.5
npa,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nph,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
npi,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
npl,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
nru,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nst,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nsu,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ntp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nty,0.5,0.5,0.5,0.5,0.5,0.5,1,1
nuf,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
nuv,1,0,0,0.5,0.5,1,1,0.5
nxq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
